Centros Especializado;Tipo de Unidade;CNES;Endereço;Número;CEP;Região Administrativa;Região de Saúde;Macrorregião de Saúde
CEPAV - FLOR DE LÓTUS;CEPAV - Centro de Especialidade para Atenção às Pessoas em Situação de Violência Sexual, Familiar e Doméstica;0904716;Policlínica de Ceilândia - QNN 27 Area Especial;1;72215170;Ceilândia;Oeste;Macrorregião 1
CEPAV - GARDÊNIA;CEPAV - Centro de Especialidade para Atenção às Pessoas em Situação de Violência Sexual, Familiar e Doméstica;0877220;HRG - Setor Central, EQ 47/49;S/N;72405901;Gama;Sul;Macrorregião 2
CEPAV - PRIMAVERA;CEPAV - Centro de Especialidade para Atenção às Pessoas em Situação de Violência Sexual, Familiar e Doméstica;0659398;HRGu - Area Especial QI 6;6;71010006;Guará;Centro-Sul;Macrorregião 2
CEPAV - GIRASSOL;CEPAV - Centro de Especialidade para Atenção às Pessoas em Situação de Violência Sexual, Familiar e Doméstica;0253805;HRL - QD 02 Conjunto K, Lote 1;1;71570903;Paranoá;Leste;Macrorregião 3
CEPAV - FLOR DE LIS;CEPAV - Centro de Especialidade para Atenção às Pessoas em Situação de Violência Sexual, Familiar e Doméstica;0658359;HRP - Avenida W L, Area Especial,  04;S/N;73310000;Planaltina;Norte;Macrorregião 3
CEPAV - VIOLETA;CEPAV - Centro de Especialidade para Atenção às Pessoas em Situação de Violência Sexual, Familiar e Doméstica;;HMIB - AV L2 Sul Quadra 608 Modulo A;2;70203900;Plano Piloto;Central;Macrorregião 2
CEPAV - MARGARIDA;CEPAV - Centro de Especialidade para Atenção às Pessoas em Situação de Violência Sexual, Familiar e Doméstica;;HRAN - Setor Médico Hospitalar Norte - Asa Norte;Quadra 1;70710100;Plano Piloto;Central;Macrorregião 2
CEPAV - FLOR DO CERRADO;CEPAV - Centro de Especialidade para Atenção às Pessoas em Situação de Violência Sexual, Familiar e Doméstica;0874523;HRSM - AC 102;S/N;72502100;Santa Maria;Sul;Macrorregião 2
CEPAV - ORQUÍDEA;CEPAV - Centro de Especialidade para Atenção às Pessoas em Situação de Violência Sexual, Familiar e Doméstica;0769045;HRSAM - QS 614, Conjunto C;12;72322583;Samambaia;Sudoeste;Macrorregião 1
CEPAV - SEMPRE-VIVA;CEPAV - Centro de Especialidade para Atenção às Pessoas em Situação de Violência Sexual, Familiar e Doméstica;0658286;HRS - Quadra 12 Area Reservada;1;73020412;Sobradinho;Norte;Macrorregião 3
CEPAV - AZALEIA;CEPAV - Centro de Especialidade para Atenção às Pessoas em Situação de Violência Sexual, Familiar e Doméstica;0769002;HRT - Setor C Norte, Areá Especial, Taguatinga Norte;24;72120970;Taguatinga;Sudoeste;Macrorregião 1
