Estabelecimento;Endereço;Número;CEP;Região Administrativa;Região de Saúde
CAPS I RECANTO DAS EMAS;QUADRA 307 AREA ESPECIAL;1;72621400;Recanto das Emas;Sudoeste
CAPS RIACHO FUNDO;EPNB, km-4, Área Especial. S/n, Av. Sucupira, Granja do Riacho Fundo;4;71805100;Riacho Fundo I;Centro-Sul
CAPS III SAMAMBAIA;QUADRA 302 CONJUNTO;5;72322583;Samambia;Sudoeste
CAPS I SOBRADINHO;QUADRA 4 AREA ESPECIAL LOTE 1 2;1;73025060;Sobradinho;Norte
CAPS I ASA NORTE;SMHN QUADRA;3;70710100;Plano Piloto;Central
CAPS AD SOBRADINHO;AR 17 CHACARA;14;73062700;Sobradinho II;Norte
CAPS AD ITAPOÃ;QD 378 CJ A AREA ESPECIAL 04;1;71593620;Itapoã;Leste
CAPS AD SANTA MARIA;QR 312 CONJUNTO H CASA;12;72542508;Santa Maria;Sul
CAPS II TAGUATINGA;QNA 39 AE;19;72110390;Taguatinga;Sudoeste
CAPS BRASILIA UNIDADE II;SGAN 905 MODULO D;905;70790050;Plano Piloto;Central
CAPS AD III SAMAMBAIA;QS 107 CONJUNTO 07;7;72301527;Samambia;Sudoeste
CAPS GUARÁ;QE 23 AE BL C SUBSOLO DO CS;2;71010634;Guará;Centro-Sul
CAPS II PARANOÁ;QD 2 CJ K AE;1;71570211;Paranoá;Leste
CAPS AD III CEILÂNDIA;QNN 01 CONJUNTO A LOTE 45 47;45;72225011;Ceilândia;Oeste
CAPS AD BRASILIA RODOVIARIA;SETOR COMERCIAL SUL QUADRA 5;5;70305000;Plano Piloto;Central
CAPS II PLANALTINA;VIA W L 04 SETOR HOSPITALAR;S/N;73310100;Planaltina;Norte
CAPS I TAGUATINGA;QNF AREA ESPECIAL;24;72125750;Taguatinga;Sudoeste
CAPS  I BRAZLÂNDIA;QUADRA 01 AREA ESPECIAL 2 VEREDAS BRAZLANDIA;2;72725116;Brazlândia;Oeste
