Estabelecimento;Endereço;Número;CEP;Região Administrativa;Região de Saúde;Macrorregião de Saúde
HOSPITAL REGIONAL DE CEILANDIA;AREA ESPECIAL;1;72215270;CEILANDIA SUL;Oeste;Macrorregião 1
HOSPITAL REGIONAL DA ASA NORTE;SMHN QUADRA;101;70710100;PLANO PILOTO;Central;Macrorregião 2
HOSPITAL REGIONAL DO GUARÁ;AREA ESPECIAL QI;6;71010006;GUARA I;Centro-Sul;Macrorregião 2
HOSPITAL REGIONAL DE PLANALTINA;AVENIDA W L 04;S/N;73310000;PLANALTINA;Norte;Macrorregião 3
HOSPITAL REGIONAL DA REGIÃO LESTE;QD 02 CONJ K;1;71570903;PARANOA;Leste;Macrorregião 3
HOSPITAL REGIONAL DE BRAZLÂNDIA;AREA ESPECIAL;6;72720660;SETOR TRADICIONAL;Oeste;Macrorregião 1
HOSPITAL REGIONAL DE SANTA MARIA;AC 102;S/N;72502100;SANTA MARIA;Sul;Macrorregião 2
HOSPITAL REGIONAL DE SAMAMBAIA;QS 614 CONJUNTO C;12;72322583;SAMAMBAIA;Sudoeste;Macrorregião 1
HOSPITAL REGIONAL DO GAMA;AREA ESPECIAL;S/N;72405901;GAMA;Sul;Macrorregião 2
HOSPITAL REGIONAL DE SOBRADINHO;QUADRA 12 AREA RESERVADA;1;73020412;SOBRADINHO;Norte;Macrorregião 3
HOSPITAL REGIONAL DE TAGUATINGA;SETOR C NORTE;24;72120970;TAGUATINGA;Sudoeste;Macrorregião 1
HOSPITAL DA CRIANCA DE BRASILIA JOSE ALENCAR HCB;SHCN LT;4;70071900;ASA NORTE;Central;Macrorregião 2
HOSPITAL DE APOIO DE BRASILIA HAB;AREA ESPECIAL NOROESTE W;3;70684831;NOROESTE;Central;Macrorregião 2
HOSPITAL SAO VICENTE DE PAULO HSVP;ST C SUL QSC AE TAGUATINGA SUL;1;72016010;TAGUATINGA CENTRO;Sudoeste;Macrorregião 1
HOSPITAL MATERNO INFANTIL DE BRASILIA HMIB;AV L2 SUL QUADRA 608 MODULA A;2;70203900;ASA SUL;Central;Macrorregião 2
HOSPITAL DE BASE DO DISTRITO FEDERAL;SMHS QUADRA 101 AREA ESPECIAL;1;70335900;ASA SUL;Central;Macrorregião 2
