Estabelecimento;Tipo de Unidade;CNES;Endereço;Número;CEP;Região Administrativa;Região de Saúde
CENTRO RADIOLÓGICO DE TAGUATINGA;CENTRO RADIOLÓGICO;11193;QNG 10 AREA ESPECIAL;2;72155000;TAGUATINGA;Sudoeste
UNIDADE DE VIGILÂNCIA AMBIENTAL BRASILIA NORTE;UNIDADE DE VIGILANCIA EM SAUDE;9189823;SAIN LOTE;4;70071125;PLANO PILOTO;Central
NÚCLEO DE TESTAGEM E ACONSELHAMENTO;LABORATORIO DE SAUDE PUBLICA;2616726;Edifício do CEDIN - Localizado na via W3 Sul, na altura das quadras 508/509 Sul;S/N;70351580;PLANO PILOTO;Central
FUNDAÇÃO HEMOCENTRO;CENTRO DE ATENCAO HEMOTERAPIA E OU HEMATOLOGICA;11339;SMHN QUADRA 03 CONJUNTO A BLOCO;3;70710908;PLANO PILOTO;Central
SECRETARIA DE SAÚDE DO DISTRITO FEDERAL;CENTRAL DE GESTAO EM SAUDE;6963447;Edifício PO 700 – (1º e 2º andar) Endereço: Setor de Rádio e TV Norte (SRTVN) – 701 Norte;0;70719040;PLANO PILOTO;Central
LACEN DF;LABORATORIO DE SAUDE PUBLICA;11371;SGAN QUADRA 601 LOTES O P;0;70830010;PLANO PILOTO;Central
FARMÁCIA DE ALTO CUSTO ASA SUL;FARMACIA;2816741;Estação 102 Sul do Metrô, Subsolo - Ala Comercial;S/N;70330000;PLANO PILOTO;Central
UNIDADE DE VIGILÂNCIA AMBIENTAL BRASILIA SUL;UNIDADE DE VIGILANCIA EM SAUDE;9189777;SAIS AREA ESPECIAL;10;70602900;PLANO PILOTO;Central
UNIDADE DE VIGILÂNCIA AMBIENTAL BRAZLANDIA;UNIDADE DE VIGILANCIA EM SAUDE;9189890;AREA ESPECIAL 4 PRACA ADMINISTRATIVA LOTE;9;72720040;BRAZLÂNDIA;Oeste
FARMÁCIA DE ALTO CUSTO CEILANDIA;FARMACIA;6926967;QUADRA EQNM 18 20;S/N;72210550;CEILÂNDIA;Oeste
UNIDADE DE VIGILÂNCIA AMBIENTAL CEILANDIA;UNIDADE DE VIGILANCIA EM SAUDE;9189920;QNM 15 LOTE D AREA ESPECIAL;1;72215150;CEILÂNDIA;Oeste
LABORATÓRIO REGIONAL DE CEILÂNDIA;LABORATORIO DE SAUDE PUBLICA;11479;EQNP 7 11 AREA ESPECIAL;1;72240540;CEILÂNDIA;Oeste
FARMÁCIA DE ALTO CUSTO GAMA;FARMACIA;9317368;PRACA 1 LOTE UNICO;S/N;72405025;GAMA;Sul
UNIDADE DE VIGILÂNCIA AMBIENTAL GAMA;UNIDADE DE VIGILANCIA EM SAUDE;9189963;AREA ESPECIAL N;7;72410206;GAMA;Sul
UNIDADE DE VIGILÂNCIA AMBIENTAL GUARÁ;UNIDADE DE VIGILANCIA EM SAUDE;9190082;AREA ESPECIAL B QE;12;71010320;GUARÁ;Centro-Sul
LABORATORIO REGIONAL DO GUARÁ;LABORATORIO DE SAUDE PUBLICA;11665;QE 23 AREA ESPECIAL LT;1;71050020;GUARÁ;Centro-Sul
UNIDADE DE VIGILÂNCIA AMBIENTAL PARANOÁ;UNIDADE DE VIGILANCIA EM SAUDE;9190112;QSE 13 13 AREA ESPECIAL;2;71570030;PARANOÁ;Leste
UNIDADE DE VIGILÂNCIA AMBIENTAL PLANALTINA;UNIDADE DE VIGILANCIA EM SAUDE;9194118;AV INDEPENDENCIA BLOCO J QUADRA;2;73310000;PLANALTINA;Norte
UNIDADE DE VIGILÂNCIA AMBIENTAL RECANTO DAS EMAS;UNIDADE DE VIGILANCIA EM SAUDE;9190139;QUADRA 105 LOTE;3;72630250;RECANTO DAS EMAS;Sudoeste
FARMÁCIA VIVA;FARMACIA;6959709;GRANJA DO RIACHO FUNDO I AREA ESPECIAL N 3 EPNB;4;71825300;RIACHO FUNDO I;Centro-Sul
UNIDADE DE VIGILÂNCIA AMBIENTAL SAMAMBAIA;UNIDADE DE VIGILANCIA EM SAUDE;9190155;ADMINISTRACAO REGIONAL QUADRA;302;72322583;SAMAMABAIA;Sudoeste
UNIDADE DE VIGILÂNCIA AMBIENTAL TAGUATINGA;UNIDADE DE VIGILANCIA EM SAUDE;9190481;QSE 11 13 AREA ESPECIAL N;2;71909000;TAGUATINGA;Sudoeste
CASA DE PARTO DE SÃO SEBASTIÃO;CENTRO DE PARTO NORMAL;2650355;CENTRO DE MULTIPLAS ATIVIDADES;S/N;71691081;SAO SEBASTIAO;Leste
UNIDADE DE VIGILÂNCIA AMBIENTAL NÚCLEO BANDEIRANTE;UNIDADE DE VIGILANCIA EM SAUDE;9190104;TERCEIRA AVENIDA AREA ESPECIAL N;3;71730000;NUCLEO BANDEIRANTE;Centro-Sul
UNIDADE DE VIGILÂNCIA AMBIENTAL SANTA MARIA;UNIDADE DE VIGILANCIA EM SAUDE;9190163;QR AC 102 CONJUNTO ABCD SALA;104;72502100;SANTA MARIA;Sul
UNIDADE DE VIGILÂNCIA AMBIENTAL SÃO SEBASTIÃO;UNIDADE DE VIGILANCIA EM SAUDE;9190228;RUA 47 A LOTE;50;71691101;SAO SEBASTIAO;Leste
OFICINA ORTOPÉDICA DO DISTRITO FEDERAL;OFICINA ORTOPEDICA;7382243;SGAP BLOCO G LOTE 06;6;71215000;SIA;Centro-Sul
UNIDADE DE VIGILÂNCIA AMBIENTAL SOBRADINHO;UNIDADE DE VIGILANCIA EM SAUDE;9190473;SETOR TRADICIONAL E CULTURAL LOTE D QUADRA CENTRAL;0;73020412;SOBRADINHO;Norte
LABORATÓRIO CENTRAL DA REGIÃO DE SAÚDE SUDOESTE;LABORATORIO DE SAUDE PUBLICA;9620109;C 12 AREA ESPECIAL;1;72155000;TAGUATINGA;Sudoeste
