Estabelecimento;CNES;Endereço;Número;CEP;Horários de Fucionamento;Região Administrativa;Região de Saúde;Macrorregião de Saúde
POLICLÍNICA DO GAMA;5598575;EQ 48 50 GAMA AREA ESPECIAL NUMERO 1;1;72405901;segunda a sexta-feira de 7h às 18h, exceto feriados;Gama;Sul;Macrorregião 2
POLICLÍNICA DE TAGUATINGA UNIDADE III;10588;C 12 AREA ESPECIAL;1;72155000;segunda a sexta-feira das 07:00 às 12:00 e das 13:00 às 18:00;Taguatinga;Sudoeste;Macrorregião 1
POLICLÍNICA DA ASA NORTE;9778144;SMHN Q 1;S/N;70710100;segunda a sexta-feira das 07:00 às 12:00 e das 13:00 às 18:00;Plano Piloto;Central;Macrorregião 2
POLICLÍNICA DO PARANOÁ;9580816;Área Especial Hospitalar, quadra 2, conjunto K, lote 1;S/N;71570050;segunda a sexta-feira das 07:00 às 12:00 e das 13:00 às 17:00;Paranoá;Leste;Macrorregião 3
POLICLÍNICA DE BRAZLÂNDIA;9578536;AREA ESPECIAL NUMERO 1 SETOR TRADICIONAL;1;72720901;segunda a sexta-feira das 07:00 às 12:00 e das 13:00 às 18:00;Brazlândia;Oeste;Macrorregião 1
POLICLÍNICA DE CEILÂNDIA II;9578501;QNN 27 AREA ESPECIAL NUMERO 1;1;72215170;segunda a sexta-feira das 07:00 às 12:00 e das 13:00 às 18:00;Ceilândia;Oeste;Macrorregião 1
POLICLÍNICA DE CEILÂNDIA I;9578544;QNN 16 CONJUNTO A LOTE F;1;72220161;segunda a sexta-feira das 07:00 às 12:00 e das 13:00 às 18:00;Ceilândia;Oeste;Macrorregião 1
POLICLÍNICA DO GUARÁ I;9620311;QI 06 AREA ESPECIAL LOTE C;S/N;71010006;segunda a sexta-feira das 07 às 12h 13 às 18h, sendo que segundas a quinta-feiras também com horário noturno, das 18 às 22h;Guará;Centro-Sul;Macrorregião 2
POLICLINICA DO LAGO SUL;9578277;SHIS QI 21 23;1;71655200;segunda a sexta-feira das 07:00 às 12:00 e das 13:00 às 18:00;Lago Sul;Leste;Macrorregião 2
POLICLÍNICA DO NÚCLEO BANDEIRANTE;9548858;TERCEIRA AVENIDA AREA ESPECIAL;S/N;71720585;segunda a sexta-feira das 07 às 12h 13 às 18h, sendo que terças e quartas-feiras também com horário noturno, das 18 às 22h.;Núcleo Bandeirante;Centro-Sul;Macrorregião 2
POLICLÍNICA DE PLANALTINA;9505709;AREA ESPECIAL ENTRE VIAS NS 01 WL04;S/N;73310000;segunda a sexta-feira das 07:00 às 12:00 e das 13:00 às 18:00;Planaltina;Norte;Macrorregião 3
POLICLÍNICA DO RIACHO FUNDO I;9548866;QS 16 AREA ESPECIAL 14 E AREA ESPECIAL;15;71825600;segunda a sexta-feira das 07:00 às 12:00 e das 13:00 às 18:00;Riacho Fundo I;Centro-Sul;Macrorregião 2
POLICLÍNICA DE SAMAMBAIA;9561579;QS 614 CONJUNTO C;12;72322583;segunda a sexta-feira das 07:00 às 12:00 e das 13:00 às 18:00;Samambaia;Sudoeste;Macrorregião 1
POLICLÍNICA DE SANTA MARIA;9595058;QUADRA A C 102 CONJUNTO A B C D S N;102;72502100;segunda a sexta-feira das 07:00 às 12:00 e das 13:00 às 18:00;Santa Maria;Sul;Macrorregião 2
POLICLÍNICA DE SÃO SEBASTIÃO;9516204;CENTRO DE MULTIPLAS ATIVIDADES CONJ;10;71691081;segunda a sexta-feira das 07:00 às 12:00 e das 13:00 às 18:00;São Sebastião;Leste;Macrorregião 3
POLICLÍNICA DE SOBRADINHO;9414754;QUADRA 12 AREA ESPECIAL;1;73020412;segunda a sexta-feira das 07:00 às 12:00 e das 13:00 às 18:00;Sobradinho;Norte;Macrorregião 3
POLICLÍNICA DE TAGUATINGA UNIDADE II;9621709;ST C NORTE AREA ESPECIAL 24;24;72155000;segunda a sexta-feira das 07:00 às 12:00 e das 13:00 às 18:00;Taguatinga;Sudoeste;Macrorregião 1
POLICLÍNICA – RIACHO FUNDO II – UNIDADE II;9620338;EPNB, km-4, Área Especial. S/n, Av. Sucupira, Granja do Riacho Fundo;S/N;72322583;segunda a sexta-feira das 07:00 às 12:00 e das 13:00 às 18:00;Riacho Fundo II;Centro-Sul;Macrorregião 2
