Região Administrativa;Região de Saúde;Macrorregião de Saúde
Água Quente;Sudoeste;Macrorregião 1
Arapoanga;Norte;Macrorregião 3
Cruzeiro;Central;Macrorregião 2
Arniqueira;Sudoeste;Macrorregião 1
Brazlândia;Oeste;Macrorregião 1
Candangolândia;Centro-Sul;Macrorregião 2
Ceilândia;Oeste;Macrorregião 1
Fercal;Norte;Macrorregião 3
Gama;Sul;Macrorregião 2
Guará;Centro-Sul;Macrorregião 2
Itapoã;Leste;Macrorregião 3
Jardim Botânico;Leste;Macrorregião 3
Lago Norte;Central;Macrorregião 2
Lago Sul;Central;Macrorregião 2
Núcleo Bandeirante;Centro-Sul;Macrorregião 2
Paranoá;Leste;Macrorregião 3
Park Way;Centro-Sul;Macrorregião 2
Planaltina;Norte;Macrorregião 3
Plano Piloto;Central;Macrorregião 2
Recanto das Emas;Sudoeste;Macrorregião 1
Riacho Fundo I;Centro-Sul;Macrorregião 2
Riacho Fundo II;Centro-Sul;Macrorregião 2
SCIA/Estrutural;Centro-Sul;Macrorregião 2
Sudoeste/Octogonal;Central;Macrorregião 2
SIA;Centro-Sul;Macrorregião 2
Samambaia;Sudoeste;Macrorregião 1
Santa Maria;Sul;Macrorregião 2
Sobradinho;Norte;Macrorregião 3
Sobradinho II;Norte;Macrorregião 3
Pôr do Sol/ Sol Nascente;Oeste;Macrorregião 1
São Sebastião;Leste;Macrorregião 3
Taguatinga;Sudoeste;Macrorregião 1
Varjão;Central;Macrorregião 2
Vicente Pires;Sudoeste;Macrorregião 1
Águas Claras;Sudoeste;Macrorregião 1
