Estabelecimento;CNES;Endereço;CEP;Horário;Sala Vacina;Farmácia;Coleta de Material;Região Administrativa
UBS 01 CANDANGOLANDIA;0011185;EQ 5/7 AREA ESPECIAL CANDANGOLANDIA;71725510;De Segunda a Sexta das 07:00 às 19:00 e Sábado das 07:00 às 12:00;SIM;SIM;SIM;CANDANGOLANDIA
UBS 2 PLANALTINA;0010650;ENTRE QUADRAS 1/10 AREA ESPECIAL;73350100;De Segunda a Sexta das 07:00 às 18:00;SIM;SIM;SIM;PLANALTINA
UBS 01 RIACHO FUNDO I;0011169;QN 09 AREA ESPECIAL 11 - RIACHO FUNDO I;71805821;De Segunda a Sexta das 07:00 às 19:00 e Sábado das 07:00 às 12:00;SIM;SIM;SIM;RIACHO FUNDO
UBS 02 GUARA;0011266;QE 23 - LOTE C - AREA ESPECIAL;71025000;De Segunda a Sexta das 07:00 às 19:00 e Sábado das 07:00 às 12:00;SIM;SIM;SIM;GUARA
UBS 6 SAO FRANCISCO - SAO SEBASTIAO;3212017;PARQUE AGROPECUARIO DE SAO SEBASTIAO;71694117;De Segunda a Sexta das 07:00 às 17:00;SIM;SIM;SIM;SAO SEBASTIAO
UBS 1 - PARANOA;0010634;QD 21 AREA ESPECIAL CONJUNTO 15;71572117;De Segunda a Sexta das 07:00 às 22:00;SIM;SIM;SIM;PARANOA
UBS 03 GUARA;0011274;QE 38 AREA ESPECIAL;71070380;De Segunda a Sexta das 07:00 às 19:00 e Sábado das 07:00 às 12:00;SIM;SIM;SIM;GUARA
UBS 04 GUARA;0011657;EQ 02/03 - CONJUNTO LUCIO COSTA;71100100;De Segunda a Sexta das 07:00 às 18:00;SIM;SIM;NÃO;GUARA
UBS 03 JARDIM BOTANICO;4986725;DF 140 KM 4,5 BOX 16, 18 E 23, CENTRO COMERCIAL;71684250;De Segunda a Sexta das 07:00 às 17:00;SIM;NÃO;NÃO;JARDIM BOTANICO
UBS 1 ITAPOA;6268269;QUADRA 378 CONJ L AREA ESPECIAL;71593631;De Segunda a Sexta das 07:00 às 18:00 e Sábado das 07:00 às 12:00;SIM;SIM;SIM;ITAPOA
UBS 2 BRAZLANDIA;6662358;QUADRA 45 AREA ESPECIAL, VILA SAO JOSE;72745000;De Segunda a Sexta das 07:00 às 19:00 e Sábado das 07:00 às 12:00;SIM;SIM;SIM;BRAZLANDIA
UBS 5 CEILANDIA;0011010;QNM 16 LOTE F AREA ESPECIAL;72210160;De Segunda a Sexta das 07:00 às 19:00 e Sábado das 07:00 às 12:00;SIM;SIM;SIM;CEILANDIA
