Unidades de Pronto Atendimento;Endereço;Número;CEP;Região Administrativa;Região de Saúde;Macrorregião de Saúde
UPA SÃO SEBASTIÃO;QD 102 CJ 1 LT 1;1;71692101;SÃO SEBASTIÃO;Leste;Macrorregião 3
UPA SAMAMBAIA;QS 107 CONJUNTO 04 AE;9;72301524;SAMAMBAIA;Sudoeste;Macrorregião 1
UPA NÚCLEO BANDEIRANTE;DF 075 KM 180 PLACA DAS MERCEDES;180;71732010;NÚCLEO BANDEIRANTE;Centro-Sul;Macrorregião 2
UPA SOBRADINHO;DF 420 KM2 COMPLEXO DE SAUDE;1;73080050;SOBRADINHO II;Norte;Macrorregião 3
UPA RECANTO DAS EMAS;EQ 400 600 AREA ESPECIAL RECANTO DAS EMAS;S/N;72630250;RECANTO DAS EMAS;Sudoeste;Macrorregião 1
UPA PARANOÁ;QUADRA COMERCIAL 1 AE 4, EPC, PARANOÁ PARQUE;S/N;71587-022;PARANOÁ;Leste;Macrorregião 3
UPA CEILÂNDIA II;QNO 21, AE , EXPANSÃO DO SETOR O;S/N;72262-100;CEILÂNDIA;Oeste;Macrorregião 1
UPA GAMA;SETOR DE INDUSTRIA QI 7, AR 2;2;72445000;GAMA;Sul;Macrorregião 2
UPA BRAZLÂNDIA;Q QUADRA 37;S/N;72737000;BRAZLÂNDIA;Oeste;Macrorregião 1
UPA PLANALTINA;QUADRA 22 SETOR HABITACIONAL MESTRE DARMAS;S/N;73403330;PLANALTINA;Norte;Macrorregião 3
UPA RIACHO FUNDO;QN 31 CONJUNTO 3 LOTE 1;S/N;71880140;RIACHO FUNDO II;Centro-Sul;Macrorregião 2
UPA VICENTE PIRES;RUA 10 QUADRA 4D CHACARA 135;;72007240;VICENTE PIRES;Sudoeste;Macrorregião 1
UPA CEILÂNDIA;QNN 27 AREA ESPECIAL D;1;72225270;CEILÂNDIA;Oeste;Macrorregião 1
